,name,file_shape,height,width,num_channel,size,max_R,max_G,max_B,RGB,max_gray,snr,snr_r,snr_g,snr_b,snr_gray,brisque
0,000003,bmp,930,930,3,2594700,13,44,39,G,34,1.5826837480943405,1.4777038712964181,1.060891645028908,1.842393731429541,1.7714764316114775,19.293083121983926
1,001aee007,bmp,505,429,3,649935,96,113,122,B,109,25.085156142035405,9.620904103740436,16.667081090434994,27.9726096069303,31.686101237870105,52.966342084646925
2,03f71b758,bmp,658,552,3,1089648,21,63,71,B,51,6.658207779128172,2.390962687164872,2.1275721723464147,8.829862978080271,9.854244536195196,49.64789771515629
3,0aa565354,bmp,573,443,3,761517,14,63,71,B,49,9.292867539468869,1.9847110809688568,2.5196648984283128,12.017024031954662,13.365066954720733,48.927402917199146
4,0cc1d6ac4,bmp,628,473,3,891132,86,103,114,B,99,21.80023089532134,8.154952517871632,16.15041715279901,23.158893988472524,26.343587290728756,49.580929876794784
5,0e9014ce4,bmp,499,451,3,675147,1,35,41,B,26,6.520414697630109,1.436554784715854,0.27170908719225034,9.072403255326433,12.146333750345972,62.45168011588984
6,0ebbee9f9,bmp,755,630,3,1426950,122,119,118,R,119,5.9522212873850595,5.801597190874924,6.0390456583372725,5.9676448673514,5.520424840779912,46.11765673531633
7,1a0cd14cd,bmp,648,768,3,1492992,14,50,61,B,41,4.3987860457382535,1.9207956871015364,1.406359371994079,5.262994590138006,7.356529538057958,32.716500791860284
8,1b8a489c6,bmp,768,663,3,1527552,80,111,96,G,98,4.534886239214382,3.7799855787401198,3.4498252560680602,5.099476086024032,4.52318835561361,64.10846407838349
9,1c4f227ca,bmp,632,504,3,955584,0,28,31,B,19,2.744364656187943,1.3649624201895165,0.2683707202140898,3.7171656411852467,4.71121675291918,34.3312923234042
10,1d92b652d,bmp,558,598,3,1001052,6,53,60,B,40,3.9587519327465577,1.5153414772698992,0.39232151477321486,8.214497479192815,9.284311208611893,47.58046866693425
11,1ffa69995,bmp,690,650,3,1345500,140,154,151,G,151,7.14539579044111,6.664203718737369,6.817035752156819,7.26916814014326,6.886194752947379,68.57829860277403
12,2c1b309f8,bmp,608,655,3,1194720,0,26,41,B,22,1.0492180553427999,1.0593456810151756,0.7506388044184903,1.1615431414486515,1.4852204960992297,-7.7157626291594
13,2c689995b,bmp,555,616,3,1025640,8,54,54,G,40,7.996358746279447,1.749967522573458,1.2392720079680004,11.594626539898867,12.080903601298445,49.14760131067575
